
📡影视频道,#genre#
河北卫视,http://39.134.234.16:80/wh7f454c46tw2080203235_771155772/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226611/1.m3u8
江西卫视,http://39.134.234.80:80/wh7f454c46tw2110413273_1793767705/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226594/1.m3u8
湖南卫视,http://39.134.234.99:80/wh7f454c46tw2131795618_1852424836/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226659/1.m3u8
深圳卫视,http://39.134.234.95:80/wh7f454c46tw2157439418_-63905006/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226700/1.m3u8
四川卫视,http://39.134.234.41:80/wh7f454c46tw3076819664_1833642670/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226573/1.m3u8
湖北卫视,http://111.7.153.25:80/wh7f454c46tw2203064977_-1178774036/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226579/1.m3u8
天津卫视,http://39.134.234.36:80/wh7f454c46tw3134195577_-657694000/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226621/1.m3u8
云南卫视,http://111.7.153.13:80/wh7f454c46tw2247622050_-788303889/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226660/1.m3u8
重庆卫视，http://39.134.234.88:80/wh7f454c46tw2272815769_1713982186/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226676/1.m3u8
吉林卫视,http://39.134.234.26:80/wh7f454c46tw2299104888_936003020/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226684/1.m3u8
宁夏卫视,http://39.134.234.52:80/wh7f454c46tw2325969722_-941779484/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226710/1.m3u8
东南卫视,http://39.134.234.99:80/wh7f454c46tw2344704394_-1827249276/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226720/1.m3u8
内蒙古卫视,http://39.134.234.50:80/wh7f454c46tw2376701517_-1326568012/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226517/1.m3u8
广西卫视,http://39.134.234.88:80/wh7f454c46tw2395762862_1259158856/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226540/1.m3u8
山西卫视,http://39.134.234.18:80/wh7f454c46tw3341438268_1749025447/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226552/1.m3u8
海南卫视,http://39.134.234.89:80/wh7f454c46tw2445108495_2065823748/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226562/1.m3u8
甘肃卫视,http://111.7.153.36:80/wh7f454c46tw2464875276_398304443/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226547/1.m3u8
青海卫视,http://111.7.153.3:80/wh7f454c46tw3425067168_407023236/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226584/1.m3u8
金鹰卡通,http://39.134.234.98:80/wh7f454c46tw3451825151_1121079962/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226624/1.m3u8
嘉佳卡通,http://39.134.234.96:80/wh7f454c46tw2574980911_1625533166/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226601/1.m3u8
卡酷少儿,http://39.134.234.94:80/wh7f454c46tw2599479814_1078147051/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226640/1.m3u8
哈哈炫动,http://39.134.234.89:80/wh7f454c46tw2630801688_35204802/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226596/1.m3u8
新疆卫视,http://39.134.234.88:80/wh7f454c46tw2653784081_-1189024591/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226657/1.m3u8
西藏卫视,http://39.134.234.89:80/wh7f454c46tw2681218773_-488503358/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226669/1.m3u8
优漫卡通,http://39.134.234.97:80/wh7f454c46tw2702323467_1877303318/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226606/1.m3u8
家有购物,http://39.134.234.91:80/wh7f454c46tw3664609203_-1079121184/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226663/1.m3u8
央广购物,http://39.134.234.67:80/wh7f454c46tw3696279466_-30179426/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226675/1.m3u8
聚鲨环球精选,http://39.134.234.101:80/wh7f454c46tw2782648555_1587623239/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226697/1.m3u8
好享购物，http://39.134.234.97:80/wh7f454c46tw2822015073_1488885998/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226728/1.m3u8
风尚购物,http://39.134.234.81:80/wh7f454c46tw2844767613_-31235916/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226625/1.m3u8
快乐购物，http://39.134.234.49:80/wh7f454c46tw2869772898_-242372304/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226633/1.m3u8
延边卫视,http://39.134.234.52:80/wh7f454c46tw2892924206_-1863516812/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227253/1.m3u8
康巴卫视,http://39.134.234.36:80/wh7f454c46tw3950310575_799507698/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227259/1.m3u8
信阳新闻综合,http://39.134.234.13:80/wh7f454c46tw2941070732_-1584501826/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226646/1.m3u8
信阳文旅频道,http://39.134.234.96:80/wh7f454c46tw2966880000_-1964401605/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226658/1.m3u8
信阳教育台,http://111.7.153.24:80/wh7f454c46tw2999855730_1381400830/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226674/1.m3u8
浉河广电中心,http://39.134.234.96:80/wh7f454c46tw3025666195_1045350991/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226651/1.m3u8
平桥广电中心,http://39.134.234.96:80/wh7f454c46tw3078542782_1449404756/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226683/1.m3u8
河南卫视4K,http://39.134.234.88:80/wh7f454c46tw3115510958_-1518355488/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226526/1.m3u8









📡河南电信IPTV,#genre#
CCTV1,http://219.150.217.47:6610/PLTV1/40/index.m3u8?icpid=dxrm1
CCTV2,http://123.160.112.7:80/PLTV/88888888/224/3221227049/1.m3u8
CCTV3,http://123.160.112.5:80/PLTV/88888888/224/3221227053/1.m3u8
CCTV4,http://123.160.112.5:80/PLTV/88888888/224/3221227050/1.m3u8
CCTV5,http://123.160.112.6:80/PLTV/88888888/224/3221227047/1.m3u8
CCTV6,http://123.160.112.7:80/PLTV/88888888/224/3221227046/1.m3u8
CCTV7,http://123.160.112.71:80/PLTV/88888888/224/3221227084/1.m3u8
CCTV8,http://123.160.112.72:80/PLTV/88888888/224/3221227081/1.m3u8
CCTV9,http://123.160.112.5:80/PLTV/88888888/224/3221227078/1.m3u8
CCTV10,http://123.160.112.6:80/PLTV/88888888/224/3221227043/1.m3u8
CCTV11,http://123.160.112.7:80/PLTV/88888888/224/3221227040/1.m3u8
CCTV12,http://123.160.112.7:80/PLTV/88888888/224/3221227044/1.m3u8
CCTV13,http://123.160.112.8:80/PLTV/88888888/224/3221227041/1.m3u8
CCTV14,http://123.160.112.71:80/PLTV/88888888/224/3221227038/1.m3u8
CCTV15,http://123.160.112.7:80/PLTV/88888888/224/3221227037/1.m3u8
CGTN,http://123.160.112.6:80/PLTV/88888888/224/3221227075/1.m3u8
CCTV17,http://123.160.112.6:80/PLTV/88888888/224/3221227072/1.m3u8
CCTV5+,http://123.160.112.5:80/PLTV/88888888/224/3221227069/1.m3u8
CCTV-5+体育赛事,http://219.150.217.47:6610/PLTV1/380/index.m3u8?icpid=dxrm1
CETV1,http://219.150.217.47:6610/PLTV1/400/index.m3u8?icpid=dxrm1
河南卫视,http://123.160.112.70:80/PLTV/88888888/224/3221226984/1.m3u8
河南卫视4K测试,http://219.150.217.47:6610/PLTV2/2780/index.m3u8?icpid=dxrm1
都市频道,http://123.160.112.70:80/PLTV/88888888/224/3221226974/1.m3u8
民生频道,http://123.160.112.71:80/PLTV/88888888/224/3221226994/1.m3u8
法制频道,http://123.160.112.72:80/PLTV/88888888/224/3221226991/1.m3u8
电视剧频道,http://123.160.112.70:80/PLTV/88888888/224/3221226971/1.m3u8
新闻频道,http://123.160.112.72:80/PLTV/88888888/224/3221226997/1.m3u8
公共频道,http://123.160.112.69:80/PLTV/88888888/224/3221226989/1.m3u8
新农村频道,http://123.160.112.69:80/PLTV/88888888/224/3221226986/1.m3u8
河南国际,http://123.160.112.71:80/PLTV/88888888/224/3221227000/1.m3u8
睛彩中原,http://219.150.217.47:6610/PLTV1/700/index.m3u8?icpid=dxrm1
移动戏曲,http://219.150.217.47:6610/PLTV1/800/index.m3u8?icpid=dxrm1
收藏天下,http://219.150.217.47:6610/PLTV1/820/index.m3u8?icpid=dxrm1
河南戏曲,http://219.150.217.47:6610/PLTV1/840/index.m3u8?icpid=dxrm1
中华功夫,http://219.150.217.47:6610/PLTV1/860/index.m3u8?icpid=dxrm1
调节剧场,http://219.150.217.47:6610/PLTV1/920/index.m3u8?icpid=dxrm1
浙江卫视,http://123.160.112.9:80/PLTV/88888888/224/3221227008/1.m3u8
东方卫视,http://123.160.112.12:80/PLTV/88888888/224/3221227020/1.m3u8
